c_function,c_file,c_line,c_signature,tool_claim,tool_claim_resolved,tool_claim_status,tool_claim_defined_in_rust,tool_verifi_tag,name_eq,matcher_forced,matcher_forced_score,matcher_forced_conf,matcher_deploy,prior,truth,truth_note
cJSON_IsBool,cJSON.c,2988,(item: const cJSON *const) -> cJSON_bool,,,NO_MAP,,,cJSON_IsBool,cJSON_IsBool,0.412,-0.102,ABSTAIN,single-source,cJSON_IsBool,C cJSON.c:2988 ((type & (cJSON_True | cJSON_False)) != 0). Rust src/cjson.rs:333: mask = (1<<1)|(1<<0); (type_ & mask) != 0. Body match.
cJSON_IsNull,cJSON.c,2997,(item: const cJSON *const) -> cJSON_bool,,,NO_MAP,,,cJSON_IsNull,cJSON_IsRaw,0.509,-0.036,ABSTAIN,CONFLICT,cJSON_IsNull,C cJSON.c:2997 ((type & 0xFF) == cJSON_NULL (1<<2)). Rust src/cjson.rs:346: type_low_byte == 1 << 2. Body match. Rejected matcher_forced=cJSON_IsRaw (src/cjson.rs:406): compares == 1 << 7.
cJSON_IsNumber,cJSON.c,3007,(item: const cJSON *const) -> cJSON_bool,,,NO_MAP,,,cJSON_IsNumber,cJSON_IsString,0.438,-0.006,ABSTAIN,CONFLICT,cJSON_IsNumber,C cJSON.c:3007 ((type & 0xFF) == cJSON_Number (1<<3)). Rust src/cjson.rs:356: masked == (1 << 3). Body match. Rejected matcher_forced=cJSON_IsString (src/cjson.rs:369): compares == 1 << 4.
cJSON_IsString,cJSON.c,3017,(item: const cJSON *const) -> cJSON_bool,,,NO_MAP,,,cJSON_IsString,cJSON_IsNumber,0.444,0.0,ABSTAIN,CONFLICT,cJSON_IsString,C cJSON.c:3017 ((type & 0xFF) == cJSON_String (1<<4)). Rust src/cjson.rs:369: (it.type_ & 0xFF) == (1 << 4). Body match. Rejected matcher_forced=cJSON_IsNumber (src/cjson.rs:356): compares == 1 << 3.
cJSON_IsArray,cJSON.c,3027,(item: const cJSON *const) -> cJSON_bool,,,NO_MAP,,,cJSON_IsArray,cJSON_IsNull,0.49,-0.055,ABSTAIN,CONFLICT,cJSON_IsArray,C cJSON.c:3027 ((type & 0xFF) == cJSON_Array (1<<5)). Rust src/cjson.rs:382: == (1 << 5). Body match. Rejected matcher_forced=cJSON_IsNull (src/cjson.rs:346): compares == 1 << 2.
cJSON_IsObject,cJSON.c,3037,(item: const cJSON *const) -> cJSON_bool,,,NO_MAP,,,cJSON_IsObject,cJSON_IsObject,0.509,-0.036,ABSTAIN,single-source,cJSON_IsObject,C cJSON.c:3037 ((type & 0xFF) == cJSON_Object (1<<6)). Rust src/cjson.rs:394: == (1 << 6). Body match.
cJSON_IsRaw,cJSON.c,3047,(item: const cJSON *const) -> cJSON_bool,,,NO_MAP,,,cJSON_IsRaw,cJSON_IsFalse,0.517,-0.027,ABSTAIN,CONFLICT,cJSON_IsRaw,C cJSON.c:3047 ((type & 0xFF) == cJSON_Raw (1<<7)). Rust src/cjson.rs:406: == (1 << 7). Body match. Rejected matcher_forced=cJSON_IsFalse (src/cjson.rs:310): compares == 1 << 0.
cJSON_Compare,cJSON.c,3057,"(a: const cJSON *const, b: const cJSON *const, case_sensitive: const cJSON_bool) -> cJSON_bool",,,NO_MAP,,,cJSON_Compare,cJSON_Compare,0.458,0.099,cJSON_Compare,single-source,cJSON_Compare,"C cJSON.c:3057. Rust src/cjson.rs:1753: (a||b NULL || type mismatch) -> 0, type-validity switch, ptr::eq(a,b) -> 1, then per-type: trivially-true group, compare_double on valuedouble, valuestring string equality, array element-wise recursive cJSON_Compare with length check, object two-way get_object_item + recursive compare. Body match. (Note: the Rust local constants are mis-numbered - CJSON_NULL = 1<<3, CJSON_NUMBER = 1<<4, CJSON_STRING = 1<<7 - so number/string/null arms are swapped vs. C; a semantic bug, not an identity problem.)"
cJSON_malloc,cJSON.c,3182,(size: size_t) -> void *,,,NO_MAP,,,cJSON_malloc,cJSON_Minify,0.445,0.005,ABSTAIN,CONFLICT,STUB:cJSON_malloc,"STUB (placeholder body, correspondence by name/signature/doc only): C cJSON.c:3182 (return global_hooks.allocate(size)). Rust src/cjson.rs:1079 cJSON_malloc(_size, _hooks) -> Option<&c_void> is a STUB returning None; doc comment 'Translation of: void * cJSON_malloc(size_t size)'. Correspondence by exact name and size parameter. Rejected matcher_forced=cJSON_Minify (src/cjson.rs:147): that is the stub slot for C cJSON_Minify (json parameter)."
cJSON_free,cJSON.c,3187,(object: void *) -> void,,,NO_MAP,,,,skip_multiline_comment,0.151,-0.289,ABSTAIN,single-source,NONE,C cJSON.c:3187 (global_hooks.deallocate(object)). No same-name or normalized-name Rust fn; grep -i 'free' over src/ finds only the cJSON_Hooks.free_fn field and InitHooks's free_fn check; no Rust fn calls a deallocate hook at all. Rejected matcher_forced=skip_multiline_comment (src/cjson.rs:82): empty-body fn named and parameterised (input: char**) for C skip_multiline_comment. Functionality elided -> NONE.
